|name|average_rate|nb_of_reviews|address|city|postal_code|comment_rate|last_50_better?
154|Domino's Pizza Paris 5|3.2|264|40 Bd Saint-Marcel, 75005 Paris|Paris|75005|3.7333333333333334|Better
155|Loriana|3.2|21|11 Rue Xavier Privas, 75005 Paris|Paris|75005|3.238095238095238|Better
156|Ristorante Italiano|3.6|66|Rue Saint-Séverin, 75005 Paris|Paris|75005|3.9183673469387754|Better
157|Cardinal|3.8|17|1 Pl. de la Contrescarpe, 75005 Paris|Paris|75005|3.6875|Worse
158|Les Balkans|2.5|82|3 Rue de la Harpe, 75005 Paris|Paris|75005|2.26|Worse
159|Five Pizza Original|4.3|858|32 Bd Saint-Michel, 75006 Paris|Paris|75006|4.033333333333333|Worse
160|BELLA CIAO|4.4|47|14 bis Bd de l'Hôpital, 75005 Paris|Paris|75005|4.446808510638298|Better
161|Casimodo|3.0|28|71 Quai de la Tournelle, 75005 Paris|Paris|75005|2.9642857142857144|Worse
162|Pizza Odessa Montparnasse|4.4|49|10 Rue d'Odessa, 75014 Paris|Paris|75014|4.375|Worse
163|Ristorante Del Arte|3.7|1464|20 Bd Saint-Michel, 75006 Paris|Paris|75006|3.8|Better
164|CANTINELLA|4.6|524|30 Rue du Faubourg Saint-Jacques, 75014 Paris|Paris|75014|4.66|Better
165|Pizza Delambre|4.7|131|28 Rue Delambre, 75014 Paris|Paris|75014|4.64|Worse
166|FAMOUS SLICE New York style pizza|4.6|104|6 Rue d'Odessa, 75014 Paris|Paris|75014|4.448979591836735|Worse
167|Da Pietro Pizzeria|4.3|425|12 Rue Mabillon, 75006 Paris|Paris|75006|4.52|Better
168|Pizza Chic|4.1|537|13 Rue de Mézières, 75006 Paris|Paris|75006|4.153846153846154|Better
169|LE ROYAL|4.2|337|90 Bd de Port-Royal, 75005 Paris|Paris|75005|4.08|Worse
170|Mkd Fooding|4.0|4|101 Bd Saint-Michel, 75005 Paris|Paris|75005|4.0|Equal
171|Pizzeria Pepone|3.8|277|3 Rue Grégoire de Tours, 75006 Paris|Paris|75006|3.84|Better
172|OGGI|4.2|308|15 Rue d'Odessa, 75014 Paris|Paris|75014|4.4|Better
173|Mamma Presto|4.8|60|142 Bd Saint-Germain, 75006 Paris|Paris|75006|4.829787234042553|Better
174|Pizzeria Positano|4.4|396|15 Rue des Canettes, 75006 Paris|Paris|75006|4.75|Better
